Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 01001100111
T 01001101011
T 01001101101
T 01001110011
T 01001110101
T 01001111001
T 01010001111
T 01010010111
T 01010011011
T 01010011101
T 01010100111
T 01010101011
T 01010101101
T 01010110011
T 01010110101
T 01010111001
T 01011000111
T 01011001011
T 01011001101
T 01011010011
T 01011010101
T 01011011001
T 01011100011
T 01011100101
T 01011101001
T 01011110001
T 01100001111
T 01100010111
T 01100011011
T 01100011101
T 01100100111
T 01100101011
T 01100101101
T 01100110011
T 01100110101
T 01100111001
T 01101000111
T 01101001011
T 01101001101
T 01101010011
T 01101010101
T 01101011001
T 01101100011
T 01101100101
T 01101101001
T 01101110001
T 01110000111
T 01110001011
T 01110001101
T 01110010011
T 01110010101
T 01110011001
T 01110100011
T 01110100101
T 01110101001
T 01110110001
T 01111000011
T 01111000101
T 01111001001
T 01111010001
T 01111100001
T 10000011111
T 10000101111
T 10000110111
T 10000111011
T 10000111101
T 10001001111
T 10001010111
T 10001011011
T 10001011101
T 10001100111
T 10001101011
T 10001101101
T 10001110011
T 10001110101
T 10001111001
T 10010001111
T 10010010111
T 10010011011
T 10010011101
T 10010100111
T 10010101011
T 10010101101
T 10010110011
T 10010110101
T 10010111001
T 10011000111
T 10011001011
T 10011001101
T 10011010011
T 10011010101
T 10011011001
T 10011100011
T 10011100101
T 10011101001
T 10011110001
T 10100001111
T 10100010111
T 10100011011
T 10100011101
T 10100100111
T 10100101011
T 10100101101
T 10100110011
T 10100110101
T 10100111001
T 10101000111
T 10101001011
T 10101001101
T 10101010011
T 10101010101
T 10101011001
T 10101100011
T 10101100101
T 10101101001
T 10101110001
T 10110000111
T 10110001011
T 10110001101
T 10110010011
T 10110010101
T 10110011001
T 10110100011
T 10110100101
T 10110101001
T 10110110001
T 10111000011
T 10111000101
T 10111001001
T 10111010001
T 10111100001
T 11000001111
T 11000010111
T 11000011011
T 11000011101
T 11000100111
T 11000101011
T 11000101101
T 11000110011
T 11000110101
T 11000111001
T 11001000111
T 11001001011
T 11001001101
T 11001010011
T 11001010101
T 11001011001
T 11001100011
T 11001100101
T 11001101001
T 11001110001
T 11010000111
T 11010001011
T 11010001101
T 11010010011
T 11010010101
T 11010011001
T 11010100011
T 11010100101
T 11010101001
T 11010110001
T 11011000011
T 11011000101
T 11011001001
T 11011010001
T 11011100001
T 11100000111
T 11100001011
T 11100001101
T 11100010011
T 11100010101
T 11100011001
T 11100100011
T 11100100101
T 11100101001
T 11100110001
T 11101000011
T 11101000101
T 11101001001
T 11101010001
T 11101100001
T 11110000011
T 11110000101
T 11110001001
T 11110010001
T 11110100001
T 11111000001
T 00001111111
T 00010111111
T 00011011111
T 00011101111
T 00011110111
T 00011111011
T 00011111101
T 00100111111
T 00101011111
T 00101101111
T 00101110111
T 00101111011
T 00101111101
T 00110011111
T 00110101111
T 00110110111
T 00110111011
T 00110111101
T 00111001111
T 00111010111
T 00111011011
T 00111011101
T 00111100111
T 00111101011
T 00111101101
T 00111110011
T 00111110101
T 00111111001
T 01000111111
T 01001011111
T 01001101111
T 01001110111
T 01001111011
T 01001111101
T 01010011111
T 01010101111
T 01010110111
T 01010111011
T 01010111101
T 01011001111
T 01011010111
T 01011011011
T 01011011101
T 01011100111
T 01011101011
T 01011101101
T 01011110011
T 01011110101
T 01011111001
T 01100011111
T 01100101111
T 01100110111
T 01100111011
T 01100111101
T 01101001111
T 01101010111
T 01101011011
T 01101011101
T 01101100111
T 01101101011
T 01101101101
T 01101110011
T 01101110101
T 01101111001
T 01110001111
T 01110010111
T 01110011011
T 01110011101
T 01110100111
T 01110101011
T 01110101101
T 01110110011
T 01110110101
T 01110111001
T 01111000111
T 01111001011
T 01111001101
T 01111010011
T 01111010101
T 01111011001
T 01111100011
T 01111100101
T 01111101001
T 01111110001
T 10000111111
T 10001011111
T 10001101111
T 10001110111
T 10001111011
T 10001111101
T 10010011111
T 10010101111
T 10010110111
T 10010111011
T 10010111101
T 10011001111
T 10011010111
T 10011011011
T 10011011101
T 10011100111
T 10011101011
T 10011101101
T 10011110011
T 10011110101
T 10011111001
T 10100011111
T 10100101111
T 10100110111
T 10100111011
T 10100111101
T 10101001111
T 10101010111
T 10101011011
T 10101011101
T 10101100111
T 10101101011
T 10101101101
T 10101110011
T 10101110101
T 10101111001
T 10110001111
T 10110010111
T 10110011011
T 10110011101
T 10110100111
T 10110101011
T 10110101101
T 10110110011
T 10110110101
T 10110111001
T 10111000111
T 10111001011
T 10111001101
T 10111010011
T 10111010101
T 10111011001
T 10111100011
T 10111100101
T 10111101001
T 10111110001
T 11000011111
T 11000101111
T 11000110111
T 11000111011
T 11000111101
T 11001001111
T 11001010111
T 11001011011
T 11001011101
T 11001100111
T 11001101011
T 11001101101
T 11001110011
T 11001110101
T 11001111001
T 11010001111
T 11010010111
T 11010011011
T 11010011101
T 11010100111
T 11010101011
T 11010101101
T 11010110011
T 11010110101
T 11010111001
T 11011000111
T 11011001011
T 11011001101
T 11011010011
T 11011010101
T 11011011001
T 11011100011
T 11011100101
T 11011101001
T 11011110001
T 11100001111
T 11100010111
T 11100011011
T 11100011101
T 11100100111
T 11100101011
T 11100101101
T 11100110011
T 11100110101
T 11100111001
T 11101000111
T 11101001011
T 11101001101
T 11101010011
T 11101010101
T 11101011001
T 11101100011
T 11101100101
T 11101101001
T 11101110001
T 11110000111
T 11110001011
T 11110001101
T 11110010011
T 11110010101
T 11110011001
T 11110100011
T 11110100101
T 11110101001
T 11110110001
T 11111000011
T 11111000101
T 11111001001
T 00011111111
T 00101111111
T 00110111111
T 00111011111
T 00111101111
T 00111110111
T 00111111011
T 00111111101
T 01001111111
T 01010111111
T 01011011111
T 01011101111
T 01011110111
T 01011111011
T 01011111101
T 01100111111
T 01101011111
T 01101101111
T 01101110111
T 01101111011
T 01101111101
T 01110011111
T 01110101111
T 01110110111
T 01110111011
T 01110111101
T 01111001111
T 01111010111
T 01111011011
T 01111011101
T 01111100111
T 01111101011
T 01111101101
T 01111110011
T 01111110101
T 01111111001
T 10001111111
T 10010111111
T 10011011111
T 10011101111
T 10011110111
T 10011111011
T 10011111101
T 10100111111
T 10101011111
T 10101101111
T 10101110111
T 10101111011
T 10101111101
T 10110011111
T 10110101111
T 10110110111
T 10110111011
T 10110111101
T 10111001111
T 10111010111
T 10111011011
T 10111011101
T 10111100111
T 10111101011
T 10111101101
T 10111110011
T 10111110101
T 10111111001
T 11000111111
T 11001011111
T 11001101111
T 11001110111
T 11001111011
T 11001111101
T 11010011111
T 11010101111
T 11010110111
T 11010111011
T 11010111101
T 11011001111
T 11011010111
T 11011011011
T 11011011101
T 11011100111
T 11011101011
T 11011101101
T 11011110011
T 11011110101
T 11011111001
T 11100011111
T 11100101111
T 11100110111
T 11100111011
T 11100111101
T 11101001111
T 11101010111
T 11101011011
T 11101011101
T 11101100111
T 11101101011
T 11101101101
T 11101110011
T 11101110101
T 11101111001
T 11110001111
T 11110010111
T 11110011011
T 11110011101
T 11110100111
